sabha,work_id,work_category,work,state,ida,mp_name,elected_nominated,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,expenditure_total_rs,expenditure_transaction_count,expenditure_first_date,expenditure_last_date,expenditure_vendor_count,expenditure_payment_status_count,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_total_rs,consent_event_count,consent_calamity_type_count,consent_calamity_name_count,recommendation_sanction_gap_rs,expenditure_to_sanction_ratio,recommendation_to_sanction_days,sanction_to_completion_days,completed,sr_no,image
Rajya Sabha,WS/MP187/2023-2024/1199,Normal/Others,WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room Sompal Singh Memorial Public School,2023-06-14,1000000.0,2023-11-07,1000000.0,Vendor Identification,,,,,,,,,196063957.11,,,,,0.0,,146,,0,1,
Rajya Sabha,WS/MP187/2023-2024/1200,Normal/Others,WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,2023-06-14,1000000.0,2023-12-08,1000000.0,Physical Inspection,221960.0,2.0,2024-10-24,2025-10-27,1.0,1.0,,,196063957.11,,,,,0.0,0.22196,177,,0,2,
Rajya Sabha,WS/MP187/2023-2024/1211,Normal/Others,WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,Uttar Pradesh,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Classroom and hall Galaxy Public School lakhna,2023-06-14,1000000.0,2024-03-15,1000000.0,Work Completed,987994.0,3.0,2024-12-03,2025-05-22,1.0,1.0,2025-09-27,987994.0,196063957.11,,,,,0.0,0.987994,275,561.0,1,3,Images
Rajya Sabha,WS/MP001/2023-2024/1215,Normal/Others,"WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484933.0,2023-08-12,1484933.0,Work Completed,,,,,,,2023-09-23,1484933.0,237168443.49,,,,,0.0,,59,42.0,1,4,
Rajya Sabha,WS/MP001/2023-2024/1216,Normal/Others,"WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1486089.0,2023-08-12,1486089.0,Work Completed,,,,,,,2023-09-23,1486089.0,237168443.49,,,,,0.0,,59,42.0,1,5,
Rajya Sabha,WS/MP001/2023-2024/1217,Normal/Others,"WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484550.0,2023-08-12,1484550.0,Work Completed,,,,,,,2023-09-23,1484550.0,237168443.49,,,,,0.0,,59,42.0,1,6,
Rajya Sabha,WS/MP001/2023-2024/1218,Normal/Others,"WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484940.0,2023-08-12,1484940.0,Physical Inspection,,,,,,,2024-03-03,1484940.0,237168443.49,,,,,0.0,,59,204.0,1,7,Images
Rajya Sabha,WS/MP190/2023-2024/1301,Normal/Others,WS/MP190/2023-2024/1301-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi HighMast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,8,Images
Rajya Sabha,WS/MP190/2023-2024/1302,Normal/Others,WS/MP190/2023-2024/1302-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,9,Images
Rajya Sabha,WS/MP190/2023-2024/1303,Normal/Others,WS/MP190/2023-2024/1303-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED SEMI High Mast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,10,Images
Rajya Sabha,WS/MP190/2023-2024/1304,Normal/Others,WS/MP190/2023-2024/1304-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,11,Images
Rajya Sabha,WS/MP190/2023-2024/1305,Normal/Others,WS/MP190/2023-2024/1305-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,243000.0,Physical Inspection,,,,,,,2024-03-02,243000.0,196063957.11,,,,,0.0,,66,191.0,1,12,Images
Rajya Sabha,WS/MP187/2023-2024/1362,Normal/Others,WS/MP187/2023-2024/1362-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Light ( 6 lights),2023-06-21,283000.0,2023-07-07,283000.0,Work Completed,,,,,,,2023-08-02,283000.0,196063957.11,,,,,0.0,,16,26.0,1,13,Images
Rajya Sabha,WS/MP187/2023-2024/1363,Normal/Others,WS/MP187/2023-2024/1363-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,14,
Rajya Sabha,WS/MP187/2023-2024/1364,Normal/Others,WS/MP187/2023-2024/1364-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,15,
Rajya Sabha,WS/MP187/2023-2024/1365,Normal/Others,WS/MP187/2023-2024/1365-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,16,
Rajya Sabha,WS/MP187/2023-2024/1366,Normal/Others,WS/MP187/2023-2024/1366-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light,2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,17,Images
Rajya Sabha,WS/MP187/2023-2024/1367,Normal/Others,WS/MP187/2023-2024/1367-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light,2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-26,283000.0,196063957.11,,,,,0.0,,16,234.0,1,18,
Rajya Sabha,WS/MP187/2023-2024/1368,Normal/Others,WS/MP187/2023-2024/1368-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,19,
Rajya Sabha,WS/MP187/2023-2024/1369,Normal/Others,WS/MP187/2023-2024/1369-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights,2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,20,
Rajya Sabha,WS/MP187/2023-2024/1370,Normal/Others,WS/MP187/2023-2024/1370-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,21,Images
Rajya Sabha,WS/MP187/2023-2024/1371,Normal/Others,WS/MP187/2023-2024/1371-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,22,Images
Rajya Sabha,WS/MP187/2023-2024/1372,Normal/Others,WS/MP187/2023-2024/1372-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,23,Images
Rajya Sabha,WS/MP187/2023-2024/1373,Normal/Others,WS/MP187/2023-2024/1373-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,24,Images
Rajya Sabha,WS/MP187/2023-2024/1374,Normal/Others,WS/MP187/2023-2024/1374-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,25,Images
Rajya Sabha,WS/MP187/2023-2024/1375,Normal/Others,WS/MP187/2023-2024/1375-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask StreetLights ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,26,Images
Rajya Sabha,WS/MP187/2023-2024/1376,Normal/Others,WS/MP187/2023-2024/1376-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-23,283000.0,196063957.11,,,,,0.0,,16,231.0,1,27,Images
Rajya Sabha,WS/MP187/2023-2024/1377,Normal/Others,WS/MP187/2023-2024/1377-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MaskStreet Lights ( 6 Light),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,28,Images
Rajya Sabha,WS/MP187/2023-2024/1378,Normal/Others,WS/MP187/2023-2024/1378-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,29,Images
Rajya Sabha,WS/MP187/2023-2024/1379,Normal/Others,WS/MP187/2023-2024/1379-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,30,Images
Rajya Sabha,WS/MP187/2023-2024/1380,Normal/Others,WS/MP187/2023-2024/1380-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,31,Images
Rajya Sabha,WS/MP187/2023-2024/1381,Normal/Others,WS/MP187/2023-2024/1381-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,32,Images
Rajya Sabha,WS/MP001/2023-2024/1411,Normal/Others,"WS/MP001/2023-2024/1411-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,???? ????? ??? ?? ??????? ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ??? ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????,2023-06-21,1484100.0,2023-09-15,1484100.0,Physical Inspection,,,,,,,2024-03-03,1484100.0,237168443.49,,,,,0.0,,86,170.0,1,33,Images
Rajya Sabha,WS/MP187/2023-2024/1419,Normal/Others,WS/MP187/2023-2024/1419-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,34,Images
Rajya Sabha,WS/MP187/2023-2024/1420,Normal/Others,WS/MP187/2023-2024/1420-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,35,Images
Rajya Sabha,WS/MP187/2023-2024/1421,Normal/Others,WS/MP187/2023-2024/1421-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,36,Images
Rajya Sabha,WS/MP187/2023-2024/1422,Normal/Others,WS/MP187/2023-2024/1422-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,37,Images
Rajya Sabha,WS/MP187/2023-2024/1423,Normal/Others,WS/MP187/2023-2024/1423-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,38,Images
Rajya Sabha,WS/MP187/2023-2024/1424,Normal/Others,WS/MP187/2023-2024/1424-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,39,Images
Rajya Sabha,WS/MP187/2023-2024/1425,Normal/Others,WS/MP187/2023-2024/1425-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,40,Images
Rajya Sabha,WS/MP187/2023-2024/1426,Normal/Others,WS/MP187/2023-2024/1426-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,41,Images
Rajya Sabha,WS/MP187/2023-2024/1427,Normal/Others,WS/MP187/2023-2024/1427-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,42,Images
Rajya Sabha,WS/MP187/2023-2024/1428,Normal/Others,WS/MP187/2023-2024/1428-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,43,Images
Rajya Sabha,WS/MP187/2023-2024/1429,Normal/Others,WS/MP187/2023-2024/1429-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,44,Images
Rajya Sabha,WS/MP187/2023-2024/1430,Normal/Others,WS/MP187/2023-2024/1430-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,45,Images
Rajya Sabha,WS/MP187/2023-2024/1431,Normal/Others,WS/MP187/2023-2024/1431-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,46,Images
Rajya Sabha,WS/MP187/2023-2024/1432,Normal/Others,WS/MP187/2023-2024/1432-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,47,Images
Rajya Sabha,WS/MP187/2023-2024/1433,Normal/Others,WS/MP187/2023-2024/1433-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,48,Images
Rajya Sabha,WS/MP187/2023-2024/1434,Normal/Others,WS/MP187/2023-2024/1434-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,49,Images
Rajya Sabha,WS/MP187/2023-2024/1435,Normal/Others,WS/MP187/2023-2024/1435-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,50,Images
Rajya Sabha,WS/MP187/2023-2024/1436,Normal/Others,WS/MP187/2023-2024/1436-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,DUDHIYa MANDIR PILIBHIT,2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,51,Images
Rajya Sabha,WS/MP187/2023-2024/1437,Normal/Others,WS/MP187/2023-2024/1437-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,52,Images
Rajya Sabha,WS/MP187/2023-2024/1438,Normal/Others,WS/MP187/2023-2024/1438-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,283000.0,Physical Inspection,,,,,,,2024-02-22,283000.0,196063957.11,,,,,0.0,,16,230.0,1,53,Images
Rajya Sabha,WS/MP106/2023-2024/1439,Normal/Others,"WS/MP106/2023-2024/1439-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,paber block work in ground government sanjay middle school police narsinghpur,2023-06-22,500000.0,2023-09-20,500000.0,Physical Inspection,,,,,,,2023-11-22,500000.0,220563957.11,,,,,0.0,,90,63.0,1,54,Images
Rajya Sabha,WS/MP106/2025-2026/1464,Normal/Others,WS/MP106/2025-2026/1464-Construction of culverts and bridges,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Nuniya Kalan, Janpad Panchayat Panagar ke gram Nuniya Kalan ke Bajrai Nala ke pas Puliya nirman, Jabalpur",2023-06-22,500000.0,2026-01-31,500000.0,Work Partially Completed,499990.0,3.0,2026-02-07,2026-08-03,2.0,1.0,,,220563957.11,,,,,0.0,0.99998,954,,0,55,
Rajya Sabha,WS/MP001/2023-2024/1487,Normal/Others,"WS/MP001/2023-2024/1487-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,"?????? ???? ????, ??? ?????? ??? ??0??0??0 ??? ?? ??????? ????? ?",2023-06-23,1385546.0,2023-10-26,1385546.0,Physical Inspection,,,,,,,2024-11-11,1385546.0,237168443.49,,,,,0.0,,125,382.0,1,56,Images
Rajya Sabha,WS/MP001/2023-2024/1488,Normal/Others,"WS/MP001/2023-2024/1488-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ??????? ?????,2023-06-23,1486150.0,2023-10-26,1486150.0,Physical Inspection,,,,,,,2024-07-04,1486150.0,237168443.49,,,,,0.0,,125,252.0,1,57,Images
Rajya Sabha,WS/MP001/2023-2024/1489,Normal/Others,"WS/MP001/2023-2024/1489-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ???????,2023-06-23,1198135.0,2023-10-26,1198135.0,Physical Inspection,,,,,,,2024-11-11,1198135.0,237168443.49,,,,,0.0,,125,382.0,1,58,Images
Rajya Sabha,WS/MP001/2023-2024/1490,Normal/Others,"WS/MP001/2023-2024/1490-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ??????? ?????,2023-06-23,897400.0,2023-10-26,897400.0,Physical Inspection,,,,,,,2024-07-11,897400.0,237168443.49,,,,,0.0,,125,259.0,1,59,Images
