sabha,work_id,work_category,work,state,ida,mp_name,elected_nominated,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,expenditure_total_rs,expenditure_transaction_count,expenditure_first_date,expenditure_last_date,expenditure_vendor_count,expenditure_payment_status_count,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_total_rs,consent_event_count,consent_calamity_type_count,consent_calamity_name_count,recommendation_sanction_gap_rs,expenditure_to_sanction_ratio,recommendation_to_sanction_days,sanction_to_completion_days,completed,sr_no,image
Rajya Sabha,WS/MP202/2023-2024/17119,Normal/Others,"WS/MP202/2023-2024/17119-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Mungra Badsahpur Gram Asawan Me Baba Mishra ke Ghar Tak Interlocking 200 Meter Ka Karya,2023-09-06,932690.0,2023-10-12,932690.0,Physical Inspection,,,,,,,2024-01-19,932690.0,173830159.11,,,,,0.0,,36,99.0,1,869,Images
Rajya Sabha,WS/MP202/2023-2024/17120,Normal/Others,"WS/MP202/2023-2024/17120-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram Sultanpur Me Basrahi Se Sultanpur Marg Par Interlocking 250 Meter Ka Karya,2023-09-06,1186933.0,2023-10-12,1186933.0,Physical Inspection,,,,,,,2024-01-19,1186933.0,173830159.11,,,,,0.0,,36,99.0,1,870,Images
Rajya Sabha,WS/MP202/2023-2024/17122,Normal/Others,"WS/MP202/2023-2024/17122-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram Gopalpur Me Patel Basti Se Brahman Basti Se Pal basti Tak Interlocking 300 Meter Ka Karya,2023-09-06,1394881.0,2023-10-12,1394881.0,Physical Inspection,,,,,,,2025-04-25,1394881.0,173830159.11,,,,,0.0,,36,561.0,1,871,Images
Rajya Sabha,WS/MP202/2023-2024/17123,Normal/Others,"WS/MP202/2023-2024/17123-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Barsathi Gram Patkhauli Sampati Pathak Me Pich Marg Se Dharmendra va Dhiraj Dubey Ke Ghar Tak Interlocking 200 Meter Ka Karya,2023-09-06,1023626.0,2023-10-12,1023626.0,Physical Inspection,,,,,,,2024-03-06,1023626.0,173830159.11,,,,,0.0,,36,146.0,1,872,Images
Rajya Sabha,WS/MP202/2023-2024/17124,Normal/Others,"WS/MP202/2023-2024/17124-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Barsathi Gram Chaturbhujpur Me Pich Se Giresh Dubey Ke Ghar Tak Interlocking 100 Meter Ka Karya,2023-09-06,455160.0,2023-10-12,455160.0,Physical Inspection,,,,,,,2024-01-18,455160.0,173830159.11,,,,,0.0,,36,98.0,1,873,
Rajya Sabha,WS/MP202/2023-2024/17126,Normal/Others,"WS/MP202/2023-2024/17126-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Mahrajganj Gram Hilali Me RamPrevesh Mishra Ke Ghar Tak 80 meter Interlocking Ka Karya,2023-09-06,437021.0,2023-10-12,437021.0,Physical Inspection,,,,,,,2025-04-25,437021.0,173830159.11,,,,,0.0,,36,561.0,1,874,Images
Rajya Sabha,WS/MP202/2023-2024/17127,Normal/Others,WS/MP202/2023-2024/17127-Construction of boundary walls of existing public and community buildings,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,Block Sujanganj Gram Balwarganj Me Acharya Chandra Dev Mani Madhyamik Sanskrit Vidhyalay Me BOundry Wall Ka Karya,2023-09-06,690762.0,2023-10-12,690762.0,Physical Inspection,,,,,,,2024-11-11,690762.0,173830159.11,,,,,0.0,,36,396.0,1,875,Images
Rajya Sabha,WS/MP140/2023-2024/17140,Normal/Others,WS/MP140/2023-2024/17140-Setting up of community effluent treatment plants,Punjab,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,For Treatment Plant In Village Dalla. (2nd Installment),2023-09-06,1500000.0,2023-10-30,1500000.0,Physical Inspection,,,,,,,2024-09-09,1500000.0,196359074.44000003,,,,,0.0,,54,315.0,1,876,Images
Rajya Sabha,WS/MP850/2023-2024/17449,Normal/Others,"WS/MP850/2023-2024/17449-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Shri Naresh Bansal (2020-26) (2020-2026),Elected MP,IN VILLAGE POKHRI CONTRUCTION OF CC ROAD FROM ROAD TO TINGARD. GRAM PANCHAYAT - POKHRI IA (KARYADAI SANSTATHA)- BLOCK PRATAPNAGAR,2023-09-07,497999.0,2023-11-22,497999.0,Physical Inspection,,,,,,,2024-02-27,497999.0,222043184.71,,,,,0.0,,76,97.0,1,877,Images
Rajya Sabha,WS/MP850/2023-2024/17450,Normal/Others,"WS/MP850/2023-2024/17450-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Shri Naresh Bansal (2020-26) (2020-2026),Elected MP,IN POKHRI CONTRUCTION OF CC ROAD FROM MUDRI GAON TO JADIPANI TOK.GRAM PANCHAYAT - POKHRI IA ( KARAYADIA SANSTATHA- BLOCK PRATAPNAGAR),2023-09-07,494268.0,2023-11-22,494268.0,Physical Inspection,,,,,,,2024-02-27,494268.0,222043184.71,,,,,0.0,,76,97.0,1,878,Images
