sabha,work_id,work_category,work,state,mp_name,constituency,work_description,recommended_date,recommended_amount_rs,sanctioned_date,sanctioned_amount_rs,work_status,completed,sr_no,ida,expenditure_date,fund_disbursed_amount_rs,expenditure_sr_no,expenditure_state,expenditure_work,expenditure_ida,expenditure_mp_name,expenditure_constituency,vendor_name,payment_status,image,completion_date,amount_disbursed_rs,allocated_amount_rs,consent_amount_rs,recommendation_sanction_amount_deviation_rs,sanctioned_to_recommended_ratio,disbursement_ratio,remaining_amount_rs,recommendation_to_sanction_days,sanction_to_completion_days,anomaly_score,is_anomaly,anomaly_component,financial_component,execution_component,completeness_component,risk_score,risk_level,risk_indicators,similar_works
Lok Sabha,WS/MP18157/2025-2026/157072,Normal/Others,WS/MP18157/2025-2026/157072-Purchase of mobile water tankers,Punjab,AMRINDER SINGH RAJA WARRING,Ludhiana,"3000Lt Mobile Water Tank at Ward no-30, Halka South, Distt. Ludhiana",2024-12-05,211000.0,2025-07-30,,,0,12012,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),,,,,,,,,,,,,,147000000.0,,,,,,237,,-0.08247376304369924,False,0.14179487388723572,0.0,0.34579439252336447,0.75,16.03,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18157/2024-2025/157073,Normal/Others,WS/MP18157/2024-2025/157073-Fitting of Sitting RCC Benches in Public Places,Punjab,AMRINDER SINGH RAJA WARRING,Ludhiana,"30RCC Sitting Bench at Guru Nanak Colony Park, Dhandari, Ward no-30, Distt. Ludhiana",2024-12-05,167000.0,2025-02-10,,,0,12013,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),,,,,,,,,,,,,,147000000.0,,,,,,67,,-0.10818800266770906,False,0.011823483777228586,0.0,0.08099688473520249,0.75,5.56,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18157/2024-2025/157075,Normal/Others,WS/MP18157/2024-2025/157075-Fitting of Sitting RCC Benches in Public Places,Punjab,AMRINDER SINGH RAJA WARRING,Ludhiana,"25RCC Sitting Bench at Bhagat Ravidas ji Park, Reru Sahib, Ward no-32, Distt. Ludhiana",2024-12-05,139562.0,2025-02-10,,,0,12014,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),,,,,,,,,,,,,,147000000.0,,,,,,67,,-0.10804993724889927,False,0.012521328810611295,0.0,0.08099688473520249,0.75,5.59,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18157/2024-2025/157076,Normal/Others,WS/MP18157/2024-2025/157076-Fitting of Sitting RCC Benches in Public Places,Punjab,AMRINDER SINGH RAJA WARRING,Ludhiana,"15RCC Sitting Bench at Lovely Lab vala Park, Giaspura, Distt. Ludhiana",2024-12-05,83737.0,2025-02-10,,,0,12015,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),,,,,,,,,,,,,,147000000.0,,,,,,67,,-0.09948465143674812,False,0.05581415488567651,0.0,0.08099688473520249,0.75,7.76,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP18157/2024-2025/157077,Normal/Others,WS/MP18157/2024-2025/157077-Construction of public toilets and bathrooms,Punjab,AMRINDER SINGH RAJA WARRING,Ludhiana,"Construction of Bathroom in Cremation ground at Lohara, Ward no-33, Distt. Ludhiana",2024-12-05,450000.0,2025-02-10,,,0,12016,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),,,,,,,,,,,,,,147000000.0,,,,,,67,,-0.10206314832435659,False,0.0427812661136561,0.0,0.08099688473520249,0.75,7.1,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157078,Normal/Others,WS/MP300/2024-2025/157078-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village-Atri, GP-Baghamari",2024-12-17,500000.0,2025-03-20,,,0,12017,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,93,,-0.10718896910696779,False,0.016873050964696726,0.0,0.12149532710280374,0.75,6.42,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157079,Normal/Others,WS/MP300/2024-2025/157079-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village-Goda, GP-Deuli",2024-12-17,500000.0,2025-02-28,,,0,12018,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,73,,-0.10613177450375821,False,0.022216590350074804,0.0,0.09034267912772585,0.75,6.22,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157080,Normal/Others,WS/MP300/2024-2025/157080-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village-Badaberana, GP_Badaberana",2024-12-17,500000.0,2025-02-28,,,0,12019,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,73,,-0.10613177450375821,False,0.022216590350074804,0.0,0.09034267912772585,0.75,6.22,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2025-2026/157081,Normal/Others,WS/MP300/2025-2026/157081-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village Begunia Talasahi, GP-Begunia",2024-12-17,500000.0,2025-04-22,,,0,12020,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,126,,-0.10347512129881897,False,0.03564451647719064,0.0,0.17289719626168223,0.75,8.13,LOW,['Substantial missing information'],[]
Lok Sabha,WS/MP300/2024-2025/157082,Normal/Others,WS/MP300/2024-2025/157082-Construction of public libraries and reading rooms,Odisha,Smt Aparajita Sarangi,Bhubaneswar,"Block-Begunia, Construction of Library Hall of Village- Dingar Panatangi, GP-Dingar",2024-12-17,500000.0,2025-03-03,,,0,12021,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),,,,,,,,,,,,,,147420861.41,,,,,,76,,-0.10487190482699538,False,0.028584541168010635,0.0,0.09501557632398754,0.75,6.6,LOW,['Substantial missing information'],[]
